state,district,population_2011
Kerala,Alappuzha,2127789
Kerala,Ernakulam,3282388
Kerala,Idukki ,1108974
Kerala,Kannur,2523003
Kerala,Kasaragod,1307375
Kerala,Kollam,2635375
Kerala,Kottayam,1974551
Kerala,Kozhikode,3086293
Kerala,Malappuram,4112920
Kerala,Palakkad,2809934
Kerala,Pathanamthitta,1197412
Kerala,Thiruvananthapuram,3301427
Kerala,Thrissur,3121200
Kerala,Wayanad,817420
Uttar Pradesh,Agra,4418797
Uttar Pradesh,Aligarh,3673889
Uttar Pradesh,Allahabad ,5954391
Uttar Pradesh,Ambedkar Nagar,2397888
Uttar Pradesh,Auraiya,1379545
Uttar Pradesh,Azamgarh,4613913
Uttar Pradesh,Baghpat,1303048
Uttar Pradesh,Bahraich,3487731
Uttar Pradesh,Ballia,3239774
Uttar Pradesh,Balrampur,2148665
Uttar Pradesh,Banda,1799410
Uttar Pradesh,Bara Banki,3260699
Uttar Pradesh,Bareilly,4448359
Uttar Pradesh,Basti,2464464
Uttar Pradesh,Bijnor,3682713
Uttar Pradesh,Budaun,3681896
Uttar Pradesh,Bulandshahr ,3499171
Uttar Pradesh,Chandauli,1952756
Uttar Pradesh,Chitrakoot,991730
Uttar Pradesh,Deoria,3100946
Uttar Pradesh,Etah,1774480
Uttar Pradesh,Etawah,1581810
Uttar Pradesh,Faizabad,2470996
Uttar Pradesh,Farrukhabad,1885204
Uttar Pradesh,Fatehpur,2632733
Uttar Pradesh,Firozabad,2498156
Uttar Pradesh,Gautam Buddha Nagar,1648115
Uttar Pradesh,Ghaziabad,4681645
Uttar Pradesh,Ghazipur,3620268
Uttar Pradesh,Gonda,3433919
Uttar Pradesh,Gorakhpur,4440895
Uttar Pradesh,Hamirpur,1104285
Uttar Pradesh,Hardoi,4092845
Uttar Pradesh,Jalaun ,1689974
Uttar Pradesh,Jaunpur,4494204
Uttar Pradesh,Jhansi,1998603
Uttar Pradesh,Jyotiba Phule Nagar,1840221
Uttar Pradesh,Kannauj,1656616
Uttar Pradesh,Kanpur Dehat,1796184
Uttar Pradesh,Kanpur Nagar,4581268
Uttar Pradesh,Kanshiram Nagar,1436719
Uttar Pradesh,Kaushambi,1599596
Uttar Pradesh,Kheri,4021243
Uttar Pradesh,Kushinagar,3564544
Uttar Pradesh,Lalitpur,1221592
Uttar Pradesh,Lucknow,4589838
Uttar Pradesh,Mahamaya Nagar,1564708
Uttar Pradesh,Mahoba,875958
Uttar Pradesh,Mahrajganj,2684703
Uttar Pradesh,Mainpuri,1868529
Uttar Pradesh,Mathura,2547184
Uttar Pradesh,Mau,2205968
Uttar Pradesh,Meerut,3443689
Uttar Pradesh,Mirzapur,2496970
Uttar Pradesh,Moradabad,4772006
Uttar Pradesh,Muzaffarnagar,4143512
Uttar Pradesh,Pilibhit,2031007
Uttar Pradesh,Pratapgarh,3209141
Uttar Pradesh,Rae Bareli,3405559
Uttar Pradesh,Rampur,2335819
Uttar Pradesh,Saharanpur,3466382
Uttar Pradesh,Sant Kabir Nagar,1715183
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),1578213
Uttar Pradesh,Shahjahanpur,3006538
Uttar Pradesh,Shrawasti,1117361
Uttar Pradesh,Siddharthnagar,2559297
Uttar Pradesh,Sitapur,4483992
Uttar Pradesh,Sonbhadra,1862559
Uttar Pradesh,Sultanpur,3797117
Uttar Pradesh,Unnao,3108367
Uttar Pradesh,Varanasi,3676841
